description,category,amount,date
Doctor consultation,Medical,2243,14-08-2023
Uber ride to office,Transport,273,14-08-2023
Lunch with friends,Dining,4998,15-08-2023
Bought rice and lentils,Groceries,4208,15-08-2023
Purchased milk and bread,Groceries,3975,15-08-2023
Gas connection charges,Utilities,4834,16-08-2023
Flight booking to Delhi,Travel,4050,16-08-2023
Travel package booking,Travel,1683,16-08-2023
Swiggy food order,Dining,2202,17-08-2023
Purchased milk and bread,Groceries,560,17-08-2023
Bought new shoes,Shopping,434,17-08-2023
Train ticket purchase,Travel,454,18-08-2023
Flight booking to Delhi,Travel,4663,18-08-2023
Paid health insurance premium,Insurance,4621,19-08-2023
Bought a watch,Shopping,2050,19-08-2023
Bought a watch,Shopping,2806,19-08-2023
Room rent payment,Rent,1718,20-08-2023
Home insurance premium,Insurance,1510,20-08-2023
Mobile recharge,Utilities,3686,20-08-2023
Bought new shoes,Shopping,2774,21-08-2023
Dental check-up,Medical,4859,21-08-2023
Bought a watch,Shopping,4228,21-08-2023
Gas connection charges,Utilities,2098,22-08-2023
Exam registration fee,Education,4196,22-08-2023
Mobile recharge,Utilities,4830,23-08-2023
Bought new shoes,Shopping,766,23-08-2023
Monthly rent for apartment,Rent,4594,23-08-2023
Bus fare,Transport,4633,24-08-2023
Doctor consultation,Medical,1873,24-08-2023
Hotel reservation,Travel,2131,24-08-2023
Netflix subscription,Entertainment,3469,25-08-2023
Monthly rent for apartment,Rent,1624,25-08-2023
Purchased milk and bread,Groceries,299,26-08-2023
Tuition fees payment,Education,723,26-08-2023
Bought a watch,Shopping,4583,26-08-2023
Netflix subscription,Entertainment,2215,27-08-2023
Water bill payment,Utilities,820,27-08-2023
Mobile recharge,Utilities,4012,27-08-2023
Advance rent for flat,Rent,4413,28-08-2023
Facial treatment,Personal Care,2034,28-08-2023
Travel package booking,Travel,1127,28-08-2023
Tuition fees payment,Education,285,29-08-2023
Doctor consultation,Medical,438,29-08-2023
Haircut at salon,Personal Care,3087,30-08-2023
Bought shampoo and soap,Personal Care,4908,30-08-2023
Movie tickets,Entertainment,1898,30-08-2023
Metro card recharge,Transport,4769,31-08-2023
Online course subscription,Education,2864,31-08-2023
Travel package booking,Travel,3424,31-08-2023
Swiggy food order,Dining,3328,01-09-2023
Lunch with friends,Dining,1302,01-09-2023
Facial treatment,Personal Care,4031,01-09-2023
Swiggy food order,Dining,4723,02-09-2023
Insurance renewal,Insurance,2172,02-09-2023
Breakfast at cafe,Dining,4580,03-09-2023
Facial treatment,Personal Care,2200,03-09-2023
Life insurance policy,Insurance,4909,03-09-2023
Paid electricity bill,Utilities,1379,04-09-2023
Tuition fees payment,Education,1408,04-09-2023
Exam registration fee,Education,2532,04-09-2023
Dinner at KFC,Dining,4592,05-09-2023
Cab booking for trip,Travel,2067,05-09-2023
Gas connection charges,Utilities,1381,05-09-2023
Filled petrol,Transport,4394,06-09-2023
Bought a watch,Shopping,4311,06-09-2023
Paid health insurance premium,Insurance,1408,07-09-2023
Paid health insurance premium,Insurance,4687,07-09-2023
Ordered pizza,Dining,4904,07-09-2023
Rent for PG,Rent,3227,08-09-2023
Amusement park visit,Entertainment,2178,08-09-2023
Metro card recharge,Transport,2230,08-09-2023
Advance rent for flat,Rent,4942,09-09-2023
Cab booking for trip,Travel,187,09-09-2023
Tuition fees payment,Education,3522,09-09-2023
Cab booking for trip,Travel,2882,10-09-2023
Grocery shopping at local store,Groceries,3629,10-09-2023
Manicure session,Personal Care,3081,11-09-2023
Bought shampoo and soap,Personal Care,4214,11-09-2023
Rent for PG,Rent,2643,11-09-2023
Cab booking for trip,Travel,4350,12-09-2023
Bought a watch,Shopping,3868,12-09-2023
Purchased milk and bread,Groceries,4188,12-09-2023
Doctor consultation,Medical,3873,13-09-2023
Bought vegetables and fruits,Groceries,4092,13-09-2023
Train ticket purchase,Travel,1956,13-09-2023
Online shopping on Amazon,Shopping,810,14-09-2023
Mobile recharge,Utilities,3495,14-09-2023
Insurance renewal,Insurance,949,15-09-2023
Dental check-up,Medical,4505,15-09-2023
Breakfast at cafe,Dining,2997,15-09-2023
Amusement park visit,Entertainment,1769,16-09-2023
Dinner at KFC,Dining,330,16-09-2023
Dinner at KFC,Dining,3316,16-09-2023
Doctor consultation,Medical,1937,17-09-2023
Flight booking to Delhi,Travel,3316,17-09-2023
Paid health insurance premium,Insurance,716,18-09-2023
Internet subscription,Utilities,4238,18-09-2023
Uber ride to office,Transport,721,18-09-2023
Travel package booking,Travel,2019,19-09-2023
Dental check-up,Medical,4206,19-09-2023
Filled petrol,Transport,3172,19-09-2023
Water bill payment,Utilities,4749,20-09-2023
Ordered pizza,Dining,4827,20-09-2023
Dinner at KFC,Dining,3950,20-09-2023
Cab booking for trip,Travel,573,21-09-2023
Bought shampoo and soap,Personal Care,2443,21-09-2023
Bought new shoes,Shopping,3167,22-09-2023
Eye test at optician,Medical,2643,22-09-2023
Bought vegetables and fruits,Groceries,2018,22-09-2023
Course enrollment fee,Education,1803,23-09-2023
Taxi to airport,Transport,2346,23-09-2023
Weekly grocery run,Groceries,2311,23-09-2023
Paid electricity bill,Utilities,2336,24-09-2023
Purchased milk and bread,Groceries,4252,24-09-2023
Netflix subscription,Entertainment,2928,24-09-2023
Rent for PG,Rent,4193,25-09-2023
Metro card recharge,Transport,3694,25-09-2023
Cab booking for trip,Travel,4482,26-09-2023
Internet subscription,Utilities,2105,26-09-2023
Metro card recharge,Transport,4770,26-09-2023
Cab booking for trip,Travel,1326,27-09-2023
Swiggy food order,Dining,2816,27-09-2023
Internet subscription,Utilities,352,27-09-2023
Netflix subscription,Entertainment,688,28-09-2023
Room rent payment,Rent,105,28-09-2023
Home insurance premium,Insurance,4871,28-09-2023
Uber ride to office,Transport,575,29-09-2023
Tuition fees payment,Education,4619,29-09-2023
Paid electricity bill,Utilities,4173,30-09-2023
Amusement park visit,Entertainment,2175,30-09-2023
Rent for PG,Rent,3337,30-09-2023
Advance rent for flat,Rent,414,01-10-2023
Home insurance premium,Insurance,4671,01-10-2023
Gas connection charges,Utilities,1696,01-10-2023
Clothes shopping,Shopping,968,02-10-2023
Bought medicines,Medical,2847,02-10-2023
Skincare products,Personal Care,1581,02-10-2023
Hotel reservation,Travel,3395,03-10-2023
Eye test at optician,Medical,1956,03-10-2023
Ordered pizza,Dining,3136,04-10-2023
Monthly rent for apartment,Rent,4630,04-10-2023
Netflix subscription,Entertainment,2125,04-10-2023
Eye test at optician,Medical,763,05-10-2023
Monthly rent for apartment,Rent,1112,05-10-2023
Bought rice and lentils,Groceries,2026,05-10-2023
Bought medicines,Medical,1346,06-10-2023
Manicure session,Personal Care,175,06-10-2023
Weekly grocery run,Groceries,4682,06-10-2023
Mobile recharge,Utilities,3646,07-10-2023
Eye test at optician,Medical,3333,07-10-2023
Doctor consultation,Medical,1653,08-10-2023
Skincare products,Personal Care,116,08-10-2023
Health checkup,Medical,282,08-10-2023
Course enrollment fee,Education,2206,09-10-2023
Bought rice and lentils,Groceries,1219,09-10-2023
Paid house rent,Rent,2208,09-10-2023
Cab booking for trip,Travel,4256,10-10-2023
Online shopping on Amazon,Shopping,1543,10-10-2023
Internet subscription,Utilities,4768,11-10-2023
Dental check-up,Medical,4057,11-10-2023
Grocery shopping at local store,Groceries,2522,11-10-2023
Purchased milk and bread,Groceries,2710,12-10-2023
Bought rice and lentils,Groceries,2789,12-10-2023
Hotel reservation,Travel,1811,12-10-2023
Life insurance policy,Insurance,3564,13-10-2023
Exam registration fee,Education,2025,13-10-2023
Health checkup,Medical,2412,13-10-2023
Internet subscription,Utilities,926,14-10-2023
Facial treatment,Personal Care,3862,14-10-2023
Doctor consultation,Medical,3498,15-10-2023
Purchased a handbag,Shopping,1362,15-10-2023
Haircut at salon,Personal Care,1510,15-10-2023
Game purchase,Entertainment,2759,16-10-2023
Netflix subscription,Entertainment,2374,16-10-2023
Uber ride to office,Transport,1783,16-10-2023
Water bill payment,Utilities,1655,17-10-2023
Flight booking to Delhi,Travel,2613,17-10-2023
Filled petrol,Transport,3471,17-10-2023
Travel package booking,Travel,3567,18-10-2023
Netflix subscription,Entertainment,2447,18-10-2023
Facial treatment,Personal Care,3785,19-10-2023
Spotify premium payment,Entertainment,2920,19-10-2023
Travel package booking,Travel,1210,19-10-2023
Filled petrol,Transport,4904,20-10-2023
Breakfast at cafe,Dining,292,20-10-2023
Paid health insurance premium,Insurance,2640,20-10-2023
Clothes shopping,Shopping,1113,21-10-2023
Bought shampoo and soap,Personal Care,4374,21-10-2023
Grocery shopping at local store,Groceries,2645,21-10-2023
Grocery shopping at local store,Groceries,969,22-10-2023
Doctor consultation,Medical,55,22-10-2023
Exam registration fee,Education,517,23-10-2023
Lunch with friends,Dining,4220,23-10-2023
Facial treatment,Personal Care,53,23-10-2023
Netflix subscription,Entertainment,695,24-10-2023
Bought shampoo and soap,Personal Care,167,24-10-2023
Grocery shopping at local store,Groceries,2978,24-10-2023
Monthly rent for apartment,Rent,2601,25-10-2023
Bought a watch,Shopping,4339,25-10-2023
Purchased milk and bread,Groceries,896,25-10-2023
Ordered pizza,Dining,2812,26-10-2023
Bought college books,Education,1191,26-10-2023
Clothes shopping,Shopping,1860,27-10-2023
Ordered pizza,Dining,773,27-10-2023
Course enrollment fee,Education,274,27-10-2023
Lunch with friends,Dining,4677,28-10-2023
Clothes shopping,Shopping,4258,28-10-2023
Paid health insurance premium,Insurance,4704,28-10-2023
Rent for PG,Rent,2098,29-10-2023
Bus fare,Transport,4799,29-10-2023
Train ticket purchase,Travel,4465,30-10-2023
Facial treatment,Personal Care,1623,30-10-2023
Movie tickets,Entertainment,1878,30-10-2023
Course enrollment fee,Education,1967,31-10-2023
Facial treatment,Personal Care,4284,31-10-2023
Spotify premium payment,Entertainment,2076,31-10-2023
Netflix subscription,Entertainment,3794,01-11-2023
Bought vegetables and fruits,Groceries,951,01-11-2023
Hotel reservation,Travel,4835,01-11-2023
Home insurance premium,Insurance,2089,02-11-2023
Clothes shopping,Shopping,59,02-11-2023
Car insurance payment,Insurance,310,03-11-2023
Uber ride to office,Transport,1723,03-11-2023
Internet subscription,Utilities,2269,03-11-2023
Amusement park visit,Entertainment,2110,04-11-2023
Cab booking for trip,Travel,3763,04-11-2023
Home insurance premium,Insurance,1669,04-11-2023
Tuition fees payment,Education,370,05-11-2023
Bought rice and lentils,Groceries,1392,05-11-2023
Paid house rent,Rent,2426,05-11-2023
Bought new shoes,Shopping,2882,06-11-2023
Weekly grocery run,Groceries,2874,06-11-2023
Lunch with friends,Dining,2044,07-11-2023
Gas connection charges,Utilities,3008,07-11-2023
Bought college books,Education,2088,07-11-2023
Movie tickets,Entertainment,3540,08-11-2023
Exam registration fee,Education,3727,08-11-2023
Bought rice and lentils,Groceries,1168,08-11-2023
Bought a watch,Shopping,1654,09-11-2023
Online shopping on Amazon,Shopping,4077,09-11-2023
Netflix subscription,Entertainment,285,09-11-2023
Bought college books,Education,2019,10-11-2023
Facial treatment,Personal Care,4479,10-11-2023
Ordered pizza,Dining,1958,11-11-2023
Water bill payment,Utilities,425,11-11-2023
Paid electricity bill,Utilities,3580,11-11-2023
Eye test at optician,Medical,2685,12-11-2023
Online course subscription,Education,1620,12-11-2023
Doctor consultation,Medical,2610,12-11-2023
Movie tickets,Entertainment,3441,13-11-2023
Weekly grocery run,Groceries,3015,13-11-2023
Train ticket purchase,Travel,3693,13-11-2023
Game purchase,Entertainment,3900,14-11-2023
Swiggy food order,Dining,922,14-11-2023
Bought a watch,Shopping,1302,15-11-2023
Flight booking to Delhi,Travel,1364,15-11-2023
Bought vegetables and fruits,Groceries,4870,15-11-2023
Doctor consultation,Medical,2948,16-11-2023
Eye test at optician,Medical,127,16-11-2023
Weekly grocery run,Groceries,2671,16-11-2023
Paid house rent,Rent,4277,17-11-2023
Paid house rent,Rent,650,17-11-2023
Car insurance payment,Insurance,1115,17-11-2023
Water bill payment,Utilities,2186,18-11-2023
Netflix subscription,Entertainment,2499,18-11-2023
Rent for PG,Rent,2393,19-11-2023
Advance rent for flat,Rent,1913,19-11-2023
Course enrollment fee,Education,1368,19-11-2023
Metro card recharge,Transport,4761,20-11-2023
Facial treatment,Personal Care,3647,20-11-2023
Paid health insurance premium,Insurance,3812,20-11-2023
Travel package booking,Travel,4720,21-11-2023
Netflix subscription,Entertainment,2240,21-11-2023
Bought medicines,Medical,1042,22-11-2023
Dental check-up,Medical,2762,22-11-2023
Filled petrol,Transport,2242,22-11-2023
Exam registration fee,Education,1298,23-11-2023
Bought vegetables and fruits,Groceries,3104,23-11-2023
Monthly rent for apartment,Rent,4648,23-11-2023
Online course subscription,Education,4083,24-11-2023
Weekly grocery run,Groceries,2047,24-11-2023
Bought new shoes,Shopping,4966,24-11-2023
Bought college books,Education,3737,25-11-2023
Rent for PG,Rent,2201,25-11-2023
Metro card recharge,Transport,4068,26-11-2023
Monthly rent for apartment,Rent,3160,26-11-2023
Bought shampoo and soap,Personal Care,2020,26-11-2023
Online shopping on Amazon,Shopping,247,27-11-2023
Taxi to airport,Transport,2676,27-11-2023
Car insurance payment,Insurance,1252,27-11-2023
Monthly rent for apartment,Rent,2085,28-11-2023
Tuition fees payment,Education,527,28-11-2023
Swiggy food order,Dining,1304,28-11-2023
Doctor consultation,Medical,972,29-11-2023
Bought rice and lentils,Groceries,469,29-11-2023
Internet subscription,Utilities,2254,30-11-2023
Taxi to airport,Transport,2647,30-11-2023
Home insurance premium,Insurance,1170,30-11-2023
Doctor consultation,Medical,3118,01-12-2023
Dental check-up,Medical,1000,01-12-2023
Cab booking for trip,Travel,2386,01-12-2023
Tuition fees payment,Education,2293,02-12-2023
Room rent payment,Rent,2695,02-12-2023
Skincare products,Personal Care,1907,02-12-2023
Weekly grocery run,Groceries,4662,03-12-2023
Course enrollment fee,Education,1915,03-12-2023
Train ticket purchase,Travel,2962,04-12-2023
Online course subscription,Education,2903,04-12-2023
Grocery shopping at local store,Groceries,4960,04-12-2023
Gas connection charges,Utilities,3278,05-12-2023
Skincare products,Personal Care,3769,05-12-2023
Exam registration fee,Education,3278,05-12-2023
Home insurance premium,Insurance,2421,06-12-2023
Breakfast at cafe,Dining,2941,06-12-2023
Bought college books,Education,3806,06-12-2023
Ordered pizza,Dining,4275,07-12-2023
Internet subscription,Utilities,144,07-12-2023
Online course subscription,Education,2724,08-12-2023
Gas connection charges,Utilities,2005,08-12-2023
Internet subscription,Utilities,843,08-12-2023
Grocery shopping at local store,Groceries,1884,09-12-2023
Swiggy food order,Dining,2166,09-12-2023
Paid house rent,Rent,4156,09-12-2023
Life insurance policy,Insurance,3375,10-12-2023
Bought medicines,Medical,2969,10-12-2023
Paid house rent,Rent,2647,11-12-2023
Game purchase,Entertainment,3255,11-12-2023
Uber ride to office,Transport,4857,11-12-2023
Travel package booking,Travel,864,12-12-2023
Bought rice and lentils,Groceries,395,12-12-2023
Clothes shopping,Shopping,2399,12-12-2023
Weekly grocery run,Groceries,412,13-12-2023
Life insurance policy,Insurance,2493,13-12-2023
Life insurance policy,Insurance,2315,13-12-2023
Purchased milk and bread,Groceries,2238,14-12-2023
Bought new shoes,Shopping,3055,14-12-2023
Bought vegetables and fruits,Groceries,3331,15-12-2023
Paid electricity bill,Utilities,1034,15-12-2023
Swiggy food order,Dining,1689,15-12-2023
Ordered pizza,Dining,877,16-12-2023
Insurance renewal,Insurance,2780,16-12-2023
Uber ride to office,Transport,3581,16-12-2023
Ordered pizza,Dining,4501,17-12-2023
Dinner at KFC,Dining,2985,17-12-2023
Manicure session,Personal Care,3926,17-12-2023
Purchased milk and bread,Groceries,176,18-12-2023
Game purchase,Entertainment,3227,18-12-2023
Internet subscription,Utilities,3106,19-12-2023
Gas connection charges,Utilities,653,19-12-2023
Eye test at optician,Medical,3499,19-12-2023
Weekly grocery run,Groceries,4196,20-12-2023
Flight booking to Delhi,Travel,3583,20-12-2023
Grocery shopping at local store,Groceries,3417,20-12-2023
Swiggy food order,Dining,3418,21-12-2023
Lunch with friends,Dining,3847,21-12-2023
Paid house rent,Rent,1842,21-12-2023
Train ticket purchase,Travel,2911,22-12-2023
Rent for PG,Rent,3526,22-12-2023
Bought a watch,Shopping,3467,23-12-2023
Movie tickets,Entertainment,1695,23-12-2023
Bought new shoes,Shopping,1255,23-12-2023
Car insurance payment,Insurance,3080,24-12-2023
Swiggy food order,Dining,2922,24-12-2023
Health checkup,Medical,3122,24-12-2023
Eye test at optician,Medical,1904,25-12-2023
Bought a watch,Shopping,4071,25-12-2023
Amusement park visit,Entertainment,4712,25-12-2023
Life insurance policy,Insurance,2758,26-12-2023
Bought new shoes,Shopping,3552,26-12-2023
Home insurance premium,Insurance,1382,27-12-2023
Bought a watch,Shopping,251,27-12-2023
Course enrollment fee,Education,3557,27-12-2023
Manicure session,Personal Care,4262,28-12-2023
Cab booking for trip,Travel,624,28-12-2023
Bought vegetables and fruits,Groceries,586,28-12-2023
Course enrollment fee,Education,1675,29-12-2023
